,maccs,rdkit,atompair,morgan
maccs,1.0,0.45891799679381595,0.6284292232702887,0.511860508116153
rdkit,0.45891799679381595,1.0,0.5625606636285194,0.2687595982276021
atompair,0.6284292232702887,0.5625606636285194,1.0,0.5361337994986627
morgan,0.511860508116153,0.2687595982276021,0.5361337994986627,1.0
